name,page_id
Noticias Caracol,216740968376511
El País (Cali),171280749364
El Tiempo,148349507804
El Espectador,14302129065
Noticias RCN, 154413711236788
Revista Semana,97041406678
El Heraldo,21935701184
Álvaro Uribe Vélez,45242794557
Juan Manuel Santos,330825443903
El Colombiano,126450910743068
El Universal,127926969701
Citytv.com.co,83065559474
Claudia López,158190387560587
Partido Alianza Verde,307867347023
Presidencia de la República de Colombia,186850511364615
Diario La República,261660823858377
Centro democratico,370492339735164
La Silla Vacía,86869798098
Partido Cambio Radical,159514754069267
Partido Liberal,154720731223933
Fiscalía General de la Nación Colombia,167327019982954
Senado Colombia,155088471199849
Partido de la U,135774089917229
Polo Democrático Alternativo,229299467135378
Partido Conservador Colombiano,104334216321568